,X,S
0.0,1e-05,0.0
5128.205128205128,9.398923799766019e-06,0.000613172788662748
10256.410256410256,1.078456551561968e-05,0.0008091137407664488
15384.615384615383,1.2268994741844263e-05,0.0009219013089211855
20512.82051282051,1.8411384314412956e-05,0.0010192151832356402
25641.02564102564,2.23321677251155e-05,0.0009318555695130988
30769.230769230766,3.027162813726509e-05,0.0009163064411703027
35897.4358974359,3.421234805944317e-05,0.0009284628319352525
41025.64102564102,4.437175143624186e-05,0.0009898866233902185
46153.84615384615,5.1855989338451905e-05,0.000979475695309208
51282.05128205128,6.793009729416336e-05,0.0008446576493422332
56410.25641025641,8.519101194099473e-05,0.0007516747357371773
61538.46153846153,0.00010882156749905654,0.0007338966333217681
66666.66666666666,0.00011619031402141205,0.0006815676083975651
71794.8717948718,0.00015362119595355476,0.0006393991621796339
76923.07692307692,0.00016798280346066023,0.0006418416570111779
82051.28205128205,0.00020329429078136795,0.0006309938647384718
87179.48717948717,0.00019968983070209117,0.0005505864172171134
92307.6923076923,0.00024311002846110028,0.0005035213462565149
97435.89743589744,0.0002715717220937891,0.0005002506121231148
102564.10256410256,0.0002629674222137634,0.0004772367531661563
107692.30769230769,0.00026949608780844447,0.00041610281250343634
112820.51282051281,0.00027274014200578234,0.0004115747626303015
117948.71794871794,0.00030153576005099124,0.00043480033727366977
123076.92307692306,0.0002726142086865805,0.0004287332857051034
128205.1282051282,0.00032016225116082004,0.0004073837158392617
133333.3333333333,0.0003372530319096492,0.0003878753775743289
138461.53846153847,0.0002972171895328544,0.000413267040566992
143589.7435897436,0.00032004689730566466,0.00040730502039756304
148717.94871794872,0.000289146911659814,0.00041515131612628503
153846.15384615384,0.00029858738086307535,0.0003766536697494765
158974.35897435897,0.0002920449857448822,0.000406801654439886
164102.5641025641,0.0002871477792356516,0.0003689895842304218
169230.76923076922,0.0002831367578562941,0.0004092374609054948
174358.97435897434,0.0003169464493283169,0.00042248302109386507
179487.17948717947,0.0003207700006807709,0.00040522489925417675
184615.3846153846,0.000301092761005479,0.0003742984745779844
189743.58974358972,0.0003088504396862454,0.0004287633202290954
194871.79487179487,0.00032932450612981593,0.0003898029900870382
200000.0,0.00027687948978723546,0.00041930377553908173
